Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
DyS,MoSS_MN,MoSS,0.5,0.24617250663256063,0.25,0.6
DyS,MoSS_MN,MoSS,0.75,0.6553158380913571,0.25,0.8
DyS,MoSS_MN,MoSS,0.5,0.9999554476059523,0.25,1.0
DyS,MoSS_MN,MoSS,0.25,0.77155288012718,0.5,0.1
DyS,MoSS_MN,MoSS,0.25,0.5912123361362136,0.5,0.2
DyS,MoSS_MN,MoSS,0.25,0.1576392140897599,0.5,0.4
DyS,MoSS_MN,MoSS,0.5,0.20500837760817958,0.5,0.6
DyS,MoSS_MN,MoSS,0.0,0.5659278314736484,0.5,0.8
DyS,MoSS_MN,MoSS,0.25,0.9168463532085996,0.5,1.0
DyS,MoSS_MN,MoSS,0.25,0.8070193449906164,0.75,0.1
DyS,MoSS_MN,MoSS,0.25,0.6123233732688371,0.75,0.2
DyS,MoSS_MN,MoSS,0.0,0.08424010816305177,0.75,0.4
DyS,MoSS_MN,MoSS,0.0,0.1899765435695127,0.75,0.6
DyS,MoSS_MN,MoSS,0.25,0.6893163566194396,0.75,0.8
DyS,MoSS_MN,MoSS,0.0,0.8620949278135426,0.75,1.0
DyS,MoSS_MN,MoSS,0.25,0.45299575962554084,1.0,0.1
DyS,MoSS_MN,MoSS,0.25,0.36996351125559174,1.0,0.2
DyS,MoSS_MN,MoSS,0.0,0.0753532005992289,1.0,0.4
DyS,MoSS_MN,MoSS,0.25,0.0924313665591282,1.0,0.6
DyS,MoSS_MN,MoSS,0.0,0.33184069882543943,1.0,0.8
DyS,MoSS_MN,MoSS,0.5,0.4230424617293447,1.0,1.0
HDy,MoSS_MN,MoSS,0.9,0.8,0.1,0.1
HDy,MoSS_MN,MoSS,0.15,0.5900000000000001,0.1,0.2
HDy,MoSS_MN,MoSS,0.15,0.21999999999999997,0.1,0.4
HDy,MoSS_MN,MoSS,0.9,0.040000000000000036,0.1,0.6
HDy,MoSS_MN,MoSS,0.9,0.6000000000000001,0.1,0.8
HDy,MoSS_MN,MoSS,0.9,0.99,0.1,1.0
HDy,MoSS_MN,MoSS,0.5,0.775,0.25,0.1
HDy,MoSS_MN,MoSS,0.25,0.6199999999999999,0.25,0.2
HDy,MoSS_MN,MoSS,0.25,0.21499999999999997,0.25,0.4
