Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
T50,MoSS_Dir,MoSS_Dir,0.5,0.09547218628719267,1.0,0.4
T50,MoSS_Dir,MoSS_Dir,0.5,0.09791955617198334,1.0,0.6
T50,MoSS_Dir,MoSS_Dir,0.0,0.3101449275362319,1.0,0.8
T50,MoSS_Dir,MoSS_Dir,0.5,0.5,1.0,1.0
MAX,MoSS_Dir,MoSS_Dir,0.0,0.4,0.1,0.1
MAX,MoSS_Dir,MoSS_Dir,0.0,0.3,0.1,0.2
MAX,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.4
MAX,MoSS_Dir,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
MAX,MoSS_Dir,MoSS_Dir,0.0,0.30100000000000005,0.1,0.8
MAX,MoSS_Dir,MoSS_Dir,0.0,0.498997995991984,0.1,1.0
MAX,MoSS_Dir,MoSS_Dir,0.0,0.4,0.25,0.1
MAX,MoSS_Dir,MoSS_Dir,0.0,0.29897330595482546,0.25,0.2
MAX,MoSS_Dir,MoSS_Dir,0.0,0.09492900608519267,0.25,0.4
MAX,MoSS_Dir,MoSS_Dir,0.0,0.10308641975308641,0.25,0.6
MAX,MoSS_Dir,MoSS_Dir,0.0,0.2959758551307847,0.25,0.8
MAX,MoSS_Dir,MoSS_Dir,0.0,0.4958932238193019,0.25,1.0
MAX,MoSS_Dir,MoSS_Dir,0.25,0.15485436893203877,0.5,0.1
MAX,MoSS_Dir,MoSS_Dir,0.0,0.38114035087719306,0.5,0.2
MAX,MoSS_Dir,MoSS_Dir,0.5,0.16308411214953267,0.5,0.4
MAX,MoSS_Dir,MoSS_Dir,0.0,0.4,0.5,0.6
MAX,MoSS_Dir,MoSS_Dir,0.5,0.1976744186046513,0.5,0.8
MAX,MoSS_Dir,MoSS_Dir,0.25,0.576271186440678,0.5,1.0
MAX,MoSS_Dir,MoSS_Dir,0.25,0.39374999999999993,0.75,0.1
MAX,MoSS_Dir,MoSS_Dir,0.0,0.2,0.75,0.2
MAX,MoSS_Dir,MoSS_Dir,0.25,0.4263888888888887,0.75,0.4
