Quantifier,Quadapt_Variant,MoSS_Test_Variant,MoSS_Train_Variant,MAE,m_test,m_train,alpha,Iteration
MS,MoSS,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,2
MS2,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
CC,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
DyS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.04711779129161742,0.1,0.1,0.5,2
HDy,MoSS_MN,MoSS_Dir,MoSS_Dir,0.06999999999999995,0.1,0.1,0.5,2
SORD,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
SMM,MoSS_MN,MoSS_Dir,MoSS_Dir,0.03439056186371564,0.1,0.1,0.5,2
ACC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.002272727272727315,0.1,0.1,0.5,2
X_method,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0011337868480726376,0.1,0.1,0.5,2
T50,MoSS_MN,MoSS_Dir,MoSS_Dir,0.4879518072289156,0.1,0.1,0.5,2
MAX,MoSS_MN,MoSS_Dir,MoSS_Dir,0.007829977628635298,0.1,0.1,0.5,2
MS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
MS2,MoSS_MN,MoSS_Dir,MoSS_Dir,0.005605381165919243,0.1,0.1,0.5,2
CC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
DyS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0034677179968598537,0.1,0.1,0.5,2
HDy,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,2
SORD,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,2
SMM,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.012982454053999448,0.1,0.1,0.5,2
ACC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
X_method,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
T50,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.4578544061302682,0.1,0.1,0.5,2
MAX,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
MS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.001006036217303774,0.1,0.1,0.5,2
MS2,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
CC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
DyS,None,MoSS_Dir,MoSS_Dir,0.0014996845152152605,0.1,0.1,0.5,2
HDy,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,2
SORD,None,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,2
SMM,None,MoSS_Dir,MoSS_Dir,0.01613379080338312,0.1,0.1,0.5,2
ACC,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,2
X_method,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
T50,None,MoSS_Dir,MoSS_Dir,0.5,0.1,0.1,0.5,2
MAX,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,2
MS,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,2
MS2,None,MoSS_Dir,MoSS_Dir,0.001002004008016033,0.1,0.1,0.5,2
CC,None,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,2
DyS,MoSS,MoSS_Dir,MoSS_Dir,0.005536952905083936,0.1,0.1,0.5,3
HDy,MoSS,MoSS_Dir,MoSS_Dir,0.015000000000000013,0.1,0.1,0.5,3
SORD,MoSS,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.5,3
SMM,MoSS,MoSS_Dir,MoSS_Dir,0.0007413557660703729,0.1,0.1,0.5,3
ACC,MoSS,MoSS_Dir,MoSS_Dir,0.009018036072144242,0.1,0.1,0.5,3
X_method,MoSS,MoSS_Dir,MoSS_Dir,0.010040160642570295,0.1,0.1,0.5,3
T50,MoSS,MoSS_Dir,MoSS_Dir,0.4807692307692307,0.1,0.1,0.5,3
MAX,MoSS,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
MS,MoSS,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
MS2,MoSS,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
CC,MoSS,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
DyS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.026262277801808287,0.1,0.1,0.5,3
HDy,MoSS_MN,MoSS_Dir,MoSS_Dir,0.025000000000000022,0.1,0.1,0.5,3
SORD,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.5,3
